antecedents,consequents,support,confidence,lift
"Do you attend your morning class regularly?=Yes, The average time you spend playing games?=Low, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.010111223458038422,1.0,2.996969696969697
"Do you attend your morning class regularly?=Yes, The average time you spend playing games?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.01820020222446916,1.0,2.996969696969697
"Do you attend your morning class regularly?=Yes, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.032355915065722954,1.0,2.996969696969697
"Do you fill Fatigue?=No, How many time you spend with family and friend?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.034378159757330634,1.0,2.996969696969697
"Do you fill Fatigue?=No, The average time you spend playing games?=Low, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.01314459049544995,1.0,2.996969696969697
"Do you fill Fatigue?=No, The average time you spend playing games?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.027300303336703743,1.0,2.996969696969697
"Do you fill Fatigue?=No, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.034378159757330634,1.0,2.996969696969697
"Do you fill Fatigue?=Yes, How many time you spend with family and friend?=Moderate, Your  current CGPA?=3.5",Your  current CGPA? (categorical)=High,0.01314459049544995,1.0,2.996969696969697
"Do you fill Fatigue?=Yes, How many time you spend with family and friend?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.023255813953488372,1.0,2.996969696969697
"Do you fill Fatigue?=Yes, The average time you spend playing games?=Moderate, Your  current CGPA?=3.5",Your  current CGPA? (categorical)=High,0.011122345803842264,1.0,2.996969696969697
"Do you fill Fatigue?=Yes, The average time you spend playing games?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.016177957532861477,1.0,2.996969696969697
"Do you fill Fatigue?=Yes, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.024266936299292215,1.0,2.996969696969697
"How many time you spend with family and friend?=Low, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.011122345803842264,1.0,2.996969696969697
"How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Low, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.015166835187057633,1.0,2.996969696969697
"How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Moderate, Your  current CGPA?=3.5",Your  current CGPA? (categorical)=High,0.011122345803842264,1.0,2.996969696969697
"How many time you spend with family and friend?=Moderate, The average time you spend playing games?=Moderate, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.033367037411526794,1.0,2.996969696969697
"How many time you spend with family and friend?=Moderate, When you go to sleep?=Average, Your  current CGPA?=3.5",Your  current CGPA? (categorical)=High,0.010111223458038422,1.0,2.996969696969697
"How many time you spend with family and friend?=Moderate, When you go to sleep?=Average, Your  current CGPA?=4.0",Your  current CGPA? (categorical)=High,0.046511627906976744,1.0,2.996969696969697
