antecedents,consequents,support,confidence,lift
"Academic Pressure=High, Financial Stress=High, Study Satisfaction=Low, Suicidal Thoughts=Yes, Work Study Hours=Moderate",Depression=1,0.013767388498494192,0.9846153846153847,1.6815388383353116
"Academic Pressure=High, Dietary Habits=Unhealthy, Family History=No, Financial Stress=High, Suicidal Thoughts=Yes",Depression=1,0.02061523017352646,0.9845890410958904,1.6814938485333442
"Academic Pressure=High, Family History=Yes, Financial Stress=High, Study Satisfaction=Low, Suicidal Thoughts=Yes",Depression=1,0.02269467947798652,0.984447900466563,1.6812528067483088
"Academic Pressure=Low , Dietary Habits=Healthy, Family History=No, Suicidal Thoughts=No, Work Study Hours=Low",Depression=0,0.011186003155026531,0.9842271293375394,2.3747459421697794
"Academic Pressure=Moderate, Dietary Habits=Unhealthy, Financial Stress=High, Suicidal Thoughts=Yes, Work Study Hours=High",Depression=1,0.011186003155026531,0.9842271293375394,1.6808757709700375
"Academic Pressure=Low , Financial Stress=Low, Study Satisfaction=High, Suicidal Thoughts=No, Work Study Hours=Low",Depression=0,0.015165638892872509,0.9837209302325581,2.3735245835680376
"Academic Pressure=High, CGPA (categorical)=High, Family History=Yes, Financial Stress=High, Suicidal Thoughts=Yes",Depression=1,0.015165638892872509,0.9837209302325581,1.680011277617347
"Academic Pressure=High, Financial Stress=High, Suicidal Thoughts=Yes, Work Study Hours=High",Depression=1,0.04642908360820307,0.9832953682611996,1.6792844974002805
"Academic Pressure=High, CGPA (categorical)=Average, Dietary Habits=Unhealthy, Financial Stress=High, Suicidal Thoughts=Yes",Depression=1,0.014735408002294564,0.9832535885167464,1.679213145414468
"Academic Pressure=Low , Financial Stress=Low, Sleep Duration=Long, Study Satisfaction=High, Suicidal Thoughts=No",Depression=0,0.010468951670729958,0.9831649831649832,2.372183192944439
"Academic Pressure=High, Dietary Habits=Unhealthy, Sleep Duration=Very short, Suicidal Thoughts=Yes, Work Study Hours=High",Depression=1,0.020937903341459917,0.9831649831649832,1.6790618240532522
"Academic Pressure=High, CGPA (categorical)=Low, Financial Stress=High, Study Satisfaction=Low, Suicidal Thoughts=Yes",Depression=1,0.014556145131220421,0.9830508474576272,1.6788669016218551
"Academic Pressure=High, Dietary Habits=Unhealthy, Financial Stress=High, Suicidal Thoughts=Yes, Work Study Hours=Moderate",Depression=1,0.012404990678330704,0.9829545454545454,1.678702435820364
"Academic Pressure=Low , Family History=Yes, Financial Stress=Low, Sleep Duration=Long, Suicidal Thoughts=No",Depression=0,0.010217983651226158,0.9827586206896552,2.3712027204390886
"Academic Pressure=High, Family History=Yes, Financial Stress=High, Sleep Duration=Very short, Study Satisfaction=Low",Depression=1,0.01018213107701133,0.9826989619377163,1.6782659469977215
"Academic Pressure=High, CGPA (categorical)=Low, Dietary Habits=Unhealthy, Financial Stress=High, Suicidal Thoughts=Yes",Depression=1,0.014161766814857308,0.9825870646766169,1.6780748474136786
"Academic Pressure=Low , Dietary Habits=Healthy, Suicidal Thoughts=No, Work Study Hours=Low",Depression=0,0.019934031263444715,0.9823321554770318,2.3701737439935444
"Dietary Habits=Unhealthy, Financial Stress=High, Study Satisfaction=Low, Suicidal Thoughts=Yes, Work Study Hours=High",Depression=1,0.017818729384769826,0.9822134387351779,1.677436764217584
